product_id,product_name,category,subcategory,brand,price,cost,weight
1,Apple iPhone 13,Electronics,Smartphones,Apple,899.99,649.99,0.45
2,Samsung Galaxy S21,electronics,Smartphones,Samsung,799.99,539.99,0.5
3,Sony WH-1000XM4,ELECTRONICS,Headphones,Sony,349.99,210.0,0.6
4,Dell XPS 13,Electronics,Laptops,Dell,1299.99,899.99,2.8
5,Nike Classic Tee,Clothing,Shirts,Nike,24.99,12.5,0.2
6,Levi's Slim Jeans,clothing,Pants,Levi's,59.99,31.0,0.9
7,KitchenAid Stand Mixer,Home & Kitchen,Kitchen Appliances,KitchenAid,349.99,245.0,10.0
8,Cuisinart Coffee Maker,home & kitchen,Kitchen Appliances,Cuisinart,99.99,55.0,3.5
9,IKEA Malm Dresser,Home and Kitchen,Furniture,IKEA,179.99,85.0,
10,Penguin Classics Collection,Books,Fiction,Penguin,49.99,27.5,2.0
11,The North Face Jacket,Sports & Outdoors,Jackets,The North Face,199.99,110.0,1.3
12,Nike Running Shoes,sports & outdoors,Shoes,Nike,129.99,65.0,0.7
13,LEGO Star Wars Set,Toys,Building Toys,LEGO,89.99,45.0,1.5
14,L'Oreal Revitalift Cream,Beauty,Skincare,L'Oreal,19.99,8.0,0.3
15,Apple MacBook Pro,Electronics,Laptops,Apple,-1599.99,1100.0,3.5
16,Bose QuietComfort 45,Electronics,Headphones,Bose,329.99,495.0,0.5
17,Hershey's Chocolate Assortment,Grocery,Snacks,Hershey's,15.99,7.0,1.0
18,Adidas Track Pants,Clothing,Pants,Adidas,45.99,23.0,0.6
19,Kindle Paperwhite,ELECTRONICS,E-Readers,Amazon,139.99,80.0,0.4
20,Dyson V11 Vacuum,HOME & KITCHEN,Appliances,Dyson,599.99,375.0,6.7
21,Outdoor Gas Grill,Home & Kitchen,Outdoor,Weber,299.99,165.0,25.0
22,Calvin Klein Men's Shirt,Apparel,Shirts,Calvin Klein,39.99,20.0,
23,Coleman Camping Tent,Sports and Outdoors,Camping,Coleman,149.99,75.0,8.5
24,Mattel Barbie Dreamhouse,Toys,Dolls,Mattel,199.99,99.0,12.0
25,Neutrogena Face Wash,beauty,Skincare,Neutrogena,9.99,4.0,0.35
26,General Mills Cereal,Food,Breakfast,General Mills,4.99,1.8,0.9
27,Sony PlayStation 5,Electronics,Gaming,Sony,499.99,399.0,4.5
28,HP Wireless Printer,electronics,Printers,HP,129.99,85.0,15.0
29,Zara Maxi Dress,Clothing,Dresses,Zara,79.99,32.0,0.5
30,Columbia Winter Parka,Sports & Outdoors,Jackets,Columbia,249.99,150.0,3.2